Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-4.9468E-17,0.0044613,-3.4723E-18,0,0,0,0.21974,0.00022426,-1.0831E-20,1.6977E-20,0.00044509,5.0538E-22,0.00022426,0,0,0,0,0,0,"package://asy_robotic_arm_2026/meshes/base_link.STL",0.89804,0.91765,0.92941,1,0,0,0,0,0,0,"package://asy_robotic_arm_2026/meshes/base_link.STL",,"BASE MOUNT, ROBOTIC ARM 2026-1",Origin_Link1,,Link1,fixed,0,0,0.0643,3.1416,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
Link1,-9.6291E-06,0.00088403,0.0090814,0,0,0,2.0415,0.0018245,-2.471E-07,-5.2801E-07,0.0018291,0.00010038,0.0016585,0,0,0,0,0,0,"package://asy_robotic_arm_2026/meshes/Link1.STL",0.52941,0.54902,0.54902,1,0,0,0,0,0,0,"package://asy_robotic_arm_2026/meshes/Link1.STL",,"M4230-1;J1 MOUNT, ROBOTIC ARM 2026-1",Origin_Link1,,Link1,revolute,0,0,0.0643,3.1416,0,-1.5708,base_link,0,0,0,0,0,0,0,,,,,,,,
Link2,0.13882,0.079275,-0.045933,0,0,0,4.2029,0.00516,-0.0034177,-2.4244E-18,0.0090244,6.3238E-06,0.010906,0,0,0,0,0,0,"package://asy_robotic_arm_2026/meshes/Link2.STL",0.52941,0.54902,0.54902,1,0,0,0,0,0,0,"package://asy_robotic_arm_2026/meshes/Link2.STL",,M4230-2;New Arm V10-1;M4230-3,Origin_Link2,Axis_Link2,Link2,continuous,-0.00025883,0.04747,-0.0132,1.5708,1.5284,0.0054525,Link1,0,0,1,,,,,,,,,,,,
Link3,0.021416,9.2756E-05,-0.035252,0,0,0,1.1761,0.00056704,-2.3156E-07,4.1869E-05,0.00053345,2.4901E-06,0.00055842,0,0,0,0,0,0,"package://asy_robotic_arm_2026/meshes/Link3.STL",0,0,1,1,0,0,0,0,0,0,"package://asy_robotic_arm_2026/meshes/Link3.STL",,"WRIST ROLL MOTOR MOUNT, ROBOTIC ARM 2026-1;M4210-2",Origin_Link3,Axis_Link3,Link3,continuous,0.27765,0.1603,0,-3.1416,0,1.5284,Link2,0,0,1,,,,,,,,,,,,
Link4,0.057468,-0.00030635,0.20823,0,0,0,1.1715,0.00052055,-9.0675E-07,-3.0947E-05,0.000509,-7.6065E-06,0.00038109,0,0,0,0,0,0,"package://asy_robotic_arm_2026/meshes/Link4.STL",1,1,1,1,0,0,0,0,0,0,"package://asy_robotic_arm_2026/meshes/Link4.STL",,"CARBON FIBER TUBE, ROBOTIC ARM 2026-2;FOREARM MOUNT, ROBOTIC ARM 2026-1;J5 MOUNT, ROBOTIC ARM 2026-1;M4210-1",Origin_Link4,Axis_Link4,Link4,continuous,0.053502,0,-0.035471,3.1416,1.5708,3.1416,Link3,0,0,1,,,,,,,,,,,,
Link5,-0.00026497,0.00022114,0.03105,0,0,0,1.0742,0.00038618,8.1369E-07,4.3135E-06,0.0003666,1.2385E-05,0.00040251,0,0,0,0,0,0,"package://asy_robotic_arm_2026/meshes/Link5.STL",0.52941,0.54902,0.54902,1,0,0,0,0,0,0,"package://asy_robotic_arm_2026/meshes/Link5.STL",,"M4210-3;J6 MOUNT, ROBOTIC ARM 2026-1",Origin_Link5,,Link5,revolute,0,0,0.2615,-3.1416,0,-1.9635,Link4,0,0,0,0,0,0,0,,,,,,,,
End_effector,-0.042602,0.00018998,0.00011451,0,0,0,0.54279,0.00018116,-5.002E-06,1.6477E-08,0.00040156,3.6648E-08,0.00036045,0,0,0,0,0,0,"package://asy_robotic_arm_2026/meshes/End_effector.STL",0.25098,0.25098,0.25098,1,0,0,0,0,0,0,"package://asy_robotic_arm_2026/meshes/End_effector.STL",,"ASY, GRIPPER, ROBOTIC ARM, 2026-1/GRIPPER BODY-1;ASY, GRIPPER, ROBOTIC ARM, 2026-1/693ZZ BEARING-8;ASY, GRIPPER, ROBOTIC ARM, 2026-1/693ZZ BEARING-2;ASY, GRIPPER, ROBOTIC ARM, 2026-1/693ZZ BEARING-6;ASY, GRIPPER, ROBOTIC ARM, 2026-1/693ZZ BEARING-3;ASY, GRIPPER, ROBOTIC ARM, 2026-1/693ZZ BEARING-5;ASY, GRIPPER, ROBOTIC ARM, 2026-1/SMALL FINGER, RIGHT, GRIPPER-1;ASY, GRIPPER, ROBOTIC ARM, 2026-1/RUBBER PAD, GRIPPER-1;ASY, GRIPPER, ROBOTIC ARM, 2026-1/FINGER LINK, GRIPPER-2;ASY, GRIPPER, ROBOTIC ARM, 2026-1/FINGER LINK, GRIPPER-1;ASY, GRIPPER, ROBOTIC ARM, 2026-1/SMALL FINGER, LEFT, GRIPPER-1;ASY, GRIPPER, ROBOTIC ARM, 2026-1/91290A120_Alloy Steel Socket Head Screw-4;ASY, GRIPPER, ROBOTIC ARM, 2026-1/91290A123_Alloy Steel Socket Head Screw-8;ASY, GRIPPER, ROBOTIC ARM, 2026-1/91290A123_Alloy Steel Socket Head Screw-6;ASY, GRIPPER, ROBOTIC ARM, 2026-1/90592A009_Steel Hex Nut-25;ASY, GRIPPER, ROBOTIC ARM, 2026-1/90592A009_Steel Hex Nut-15;ASY, GRIPPER, ROBOTIC ARM, 2026-1/ASY, LINEAR ACTUATOR-1/PISTON, LINEAR ACTUATOR, GRIPPER-1;ASY, GRIPPER, ROBOTIC ARM, 2026-1/91290A136_Alloy Steel Socket Head Screw-6;ASY, GRIPPER, ROBOTIC ARM, 2026-1/SLIDER LINK, GRIPPER-1;ASY, GRIPPER, ROBOTIC ARM, 2026-1/90592A009_Steel Hex Nut-27;ASY, GRIPPER, ROBOTIC ARM, 2026-1/R2 LINK, GRIPPER-3;ASY, GRIPPER, ROBOTIC ARM, 2026-1/91290A079_Alloy Steel Socket Head Screw-4;ASY, GRIPPER, ROBOTIC ARM, 2026-1/91290A079_Alloy Steel Socket Head Screw-3;ASY, GRIPPER, ROBOTIC ARM, 2026-1/91290A125_Black-Oxide Alloy Steel Socket Head Screw M3 x 25-1;ASY, GRIPPER, ROBOTIC ARM, 2026-1/90592A009_Steel Hex Nut-1;ASY, GRIPPER, ROBOTIC ARM, 2026-1/693ZZ BEARING-22;ASY, GRIPPER, ROBOTIC ARM, 2026-1/R1 LINK, GRIPPER-7;ASY, GRIPPER, ROBOTIC ARM, 2026-1/90592A009_Steel Hex Nut-8;ASY, GRIPPER, ROBOTIC ARM, 2026-1/693ZZ BEARING-9;ASY, GRIPPER, ROBOTIC ARM, 2026-1/90592A009_Steel Hex Nut-2;ASY, GRIPPER, ROBOTIC ARM, 2026-1/90592A009_Steel Hex Nut-6;ASY, GRIPPER, ROBOTIC ARM, 2026-1/90592A009_Steel Hex Nut-4;ASY, GRIPPER, ROBOTIC ARM, 2026-1/90592A009_Steel Hex Nut-23;ASY, GRIPPER, ROBOTIC ARM, 2026-1/91290A135_Alloy Steel Socket Head Screw-1;ASY, GRIPPER, ROBOTIC ARM, 2026-1/91290A079_Alloy Steel Socket Head Screw-1;ASY, GRIPPER, ROBOTIC ARM, 2026-1/RUBBER PAD, GRIPPER-3;ASY, GRIPPER, ROBOTIC ARM, 2026-1/90592A009_Steel Hex Nut-30;ASY, GRIPPER, ROBOTIC ARM, 2026-1/90592A009_Steel Hex Nut-29;ASY, GRIPPER, ROBOTIC ARM, 2026-1/91290A123_Alloy Steel Socket Head Screw-11;ASY, GRIPPER, ROBOTIC ARM, 2026-1/91290A123_Alloy Steel Socket Head Screw-10;ASY, GRIPPER, ROBOTIC ARM, 2026-1/91290A079_Alloy Steel Socket Head Screw-6;ASY, GRIPPER, ROBOTIC ARM, 2026-1/693ZZ BEARING-23;ASY, GRIPPER, ROBOTIC ARM, 2026-1/693ZZ BEARING-20;ASY, GRIPPER, ROBOTIC ARM, 2026-1/693ZZ BEARING-18;ASY, GRIPPER, ROBOTIC ARM, 2026-1/91290A120_Alloy Steel Socket Head Screw-8;ASY, GRIPPER, ROBOTIC ARM, 2026-1/693ZZ BEARING-24;ASY, GRIPPER, ROBOTIC ARM, 2026-1/693ZZ BEARING-25;ASY, GRIPPER, ROBOTIC ARM, 2026-1/693ZZ BEARING-21;ASY, GRIPPER, ROBOTIC ARM, 2026-1/91290A136_Alloy Steel Socket Head Screw-7;ASY, GRIPPER, ROBOTIC ARM, 2026-1/91290A079_Alloy Steel Socket Head Screw-5;ASY, GRIPPER, ROBOTIC ARM, 2026-1/693ZZ BEARING-17;ASY, GRIPPER, ROBOTIC ARM, 2026-1/693ZZ BEARING-19;ASY, GRIPPER, ROBOTIC ARM, 2026-1/90592A009_Steel Hex Nut-14;ASY, GRIPPER, ROBOTIC ARM, 2026-1/91290A135_Alloy Steel Socket Head Screw-2;ASY, GRIPPER, ROBOTIC ARM, 2026-1/90592A009_Steel Hex Nut-11;ASY, GRIPPER, ROBOTIC ARM, 2026-1/91290A125_Black-Oxide Alloy Steel Socket Head Screw M3 x 25-4;ASY, GRIPPER, ROBOTIC ARM, 2026-1/R2 LINK, GRIPPER-6;ASY, GRIPPER, ROBOTIC ARM, 2026-1/91290A079_Alloy Steel Socket Head Screw-2;ASY, GRIPPER, ROBOTIC ARM, 2026-1/90592A009_Steel Hex Nut-12;ASY, GRIPPER, ROBOTIC ARM, 2026-1/90592A009_Steel Hex Nut-10;ASY, GRIPPER, ROBOTIC ARM, 2026-1/R2 LINK, GRIPPER-5;ASY, GRIPPER, ROBOTIC ARM, 2026-1/693ZZ BEARING-14;ASY, GRIPPER, ROBOTIC ARM, 2026-1/693ZZ BEARING-16;ASY, GRIPPER, ROBOTIC ARM, 2026-1/90592A009_Steel Hex Nut-13;ASY, GRIPPER, ROBOTIC ARM, 2026-1/693ZZ BEARING-13;ASY, GRIPPER, ROBOTIC ARM, 2026-1/693ZZ BEARING-11;ASY, GRIPPER, ROBOTIC ARM, 2026-1/693ZZ BEARING-12;ASY, GRIPPER, ROBOTIC ARM, 2026-1/693ZZ BEARING-10;ASY, GRIPPER, ROBOTIC ARM, 2026-1/R1 LINK, GRIPPER-4;ASY, GRIPPER, ROBOTIC ARM, 2026-1/R2 LINK, GRIPPER-4;ASY, GRIPPER, ROBOTIC ARM, 2026-1/91290A120_Alloy Steel Socket Head Screw-6;ASY, GRIPPER, ROBOTIC ARM, 2026-1/91290A120_Alloy Steel Socket Head Screw-7;ASY, GRIPPER, ROBOTIC ARM, 2026-1/ASY, LINEAR ACTUATOR-1/HOUSING, LINEAR ACTUATOR, GRIPPER-1;ASY, GRIPPER, ROBOTIC ARM, 2026-1/91290A120_Alloy Steel Socket Head Screw-1;ASY, GRIPPER, ROBOTIC ARM, 2026-1/91290A120_Alloy Steel Socket Head Screw-2",Origin_End_effector,,End_effector,fixed,0,0,-0.1405,0.53499,1.5708,1.7134,Link5,0,0,0,,,,,,,,,,,,
